inom,prod,charge,dette,emp,caf,pop1,equip,subv,anomalie,score_anomalie
VILLE DE PARIS,7596960.58,7447929.54,9226931.46,863000.0,435289.19,2182174,1627417.23,874221.67,-1,-0.8781792293760147
LYON,717870.1,644428.99,362486.2,20000.0,106042.61,529570,100545.39,92415.57,-1,-0.8722576437963905
MARSEILLE,1306244.6,1144281.89,1396875.57,64164.68,234643.65,877095,180405.76,117179.64,-1,-0.8722576437963905
TOULOUSE,658792.33,632601.23,236601.06,34112.5,68743.14,498596,138507.33,69023.73,-1,-0.8722576437963905
NANTES,462970.39,426917.8,290146.87,74487.5,53472.53,323975,116475.94,91821.93,-1,-0.8716676858126355
BORDEAUX,415406.79,367337.35,295862.6,40400.0,60165.13,264257,106620.85,78142.36,-1,-0.871078126851377
LILLE,396760.67,358993.04,339022.07,26333.67,49074.22,236400,77973.76,34205.3,-1,-0.871078126851377
NICE,588412.22,583320.79,525565.38,50400.0,34350.59,345528,81669.21,42487.94,-1,-0.871078126851377
STRASBOURG VILLE,458244.36,441266.24,304717.15,55000.0,57095.3,290106,106023.45,48115.26,-1,-0.871078126851377
RENNES,326018.45,310238.19,270686.98,33000.0,30392.25,224655,81656.21,56517.9,-1,-0.8704889666427331
MONTPELLIER,357262.69,316140.06,244424.36,59900.0,57567.06,298933,105671.29,26946.29,-1,-0.8704889666427331
SAINT-DENIS,252923.43,217132.43,206470.58,10000.0,44764.98,155302,49350.25,32969.4,-1,-0.8699002049170046
GRENOBLE,281110.54,263063.28,263984.91,32200.0,27451.88,160441,39108.14,38094.29,-1,-0.8699002049170046
REIMS,259483.53,218510.04,243801.82,24000.0,55039.78,184114,55155.66,36860.45,-1,-0.8699002049170046
ANGERS,238937.45,224339.55,164058.21,18000.0,26150.55,158930,57935.61,41719.05,-1,-0.8699002049170046
AIX-EN-PROVENCE,213215.59,196189.9,120447.12,20000.0,23119.84,148336,64005.86,24508.3,-1,-0.8693118414046744
SAINT-ETIENNE,279066.54,259045.05,260099.11,11000.0,30803.73,175792,40778.47,19518.51,-1,-0.8693118414046744
NIMES,250751.17,214276.77,176549.8,19000.0,37872.83,150786,55282.55,17907.96,-1,-0.8693118414046744
HAVRE (LE ),241937.46,212453.47,202803.18,5252.5,43706.37,170120,39934.11,19596.0,-1,-0.8687238758364081
PERPIGNAN,194405.73,170423.22,198579.94,15000.0,31692.12,120771,41249.07,16719.95,-1,-0.867549137455639
CANNES,245202.17,189739.12,191326.37,10000.0,64243.35,75347,68335.95,27207.7,-1,-0.8663759876236616
MONTREUIL,235789.78,225842.68,206350.18,13000.0,21213.3,111810,39092.06,8486.44,-1,-0.8663759876236616
TOURS,206928.78,186146.34,191058.7,15377.59,28842.87,139843,32207.16,19679.47,-1,-0.8663759876236616
NANTERRE,268541.67,263786.63,154208.05,22000.0,16184.88,96917,45456.57,12046.45,-1,-0.8663759876236616
MULHOUSE,184666.52,165746.24,216980.63,11767.0,24536.62,109531,37286.75,14341.05,-1,-0.8646192367064464
ARGENTEUIL,195712.75,167763.84,374257.22,39146.17,36088.61,111595,50152.69,8108.82,-1,-0.8646192367064464
COURBEVOIE,201995.68,189565.46,132960.16,4800.0,25109.17,82213,47680.15,21469.89,-1,-0.8646192367064464
DIJON,203013.6,179419.27,121189.68,45.0,34338.03,161380,46554.25,30550.94,-1,-0.8646192367064464
CLERMONT-FERRAND,177035.96,158753.56,163481.6,8000.0,26673.77,150596,34651.42,21118.86,-1,-0.8640344450164785
ROUEN,171125.54,164715.48,134910.86,41763.77,18892.42,113934,32479.43,19671.77,-1,-0.8622824420460921
BESANCON,170666.34,145656.86,110277.2,15100.0,30934.43,121144,38867.99,18655.7,-1,-0.8622824420460921
LIMOGES,179312.39,171419.07,132181.75,14000.0,21072.43,133136,28100.06,15355.81,-1,-0.8622824420460921
AVIGNON,173835.95,163667.08,197706.0,25000.0,17445.48,92821,33019.92,21216.88,-1,-0.8616992308646769
VITRY-SUR-SEINE,187225.67,179956.04,161154.67,13600.0,13334.74,95969,26517.16,8679.25,-1,-0.8611164141425081
SAINT-PAUL,165629.48,156968.27,122469.01,11000.0,20504.28,104556,37959.36,10201.81,-1,-0.8611164141425081
ANTIBES,164660.85,154895.62,192156.66,10000.0,15600.83,74523,49660.05,12707.79,-1,-0.8611164141425081
ANNECY,221945.75,206558.25,67872.98,20000.0,24583.36,134101,54974.69,15420.46,-1,-0.8611164141425081
LEVALLOIS-PERRET,174780.81,154444.71,300515.62,27200.0,27201.72,66653,36730.62,15211.69,-1,-0.86053399161279
BOULOGNE-BILLANCOURT,269403.48,262232.28,68863.12,6330.9,23563.8,122825,85169.97,13952.99,-1,-0.86053399161279
METZ,171961.61,168677.96,115457.29,18000.0,13742.25,120335,31859.42,24260.69,-1,-0.8593703280644265
BEZIERS,134707.37,113845.4,120013.07,25000.0,25885.35,79550,55360.32,7617.78,-1,-0.8593703280644265
RUEIL-MALMAISON,200731.09,187462.83,176957.09,15304.71,19706.07,79788,28879.15,10018.36,-1,-0.8593703280644265
LE MANS,181481.13,178319.61,81119.33,16100.0,11362.36,146703,34413.69,15788.62,-1,-0.8587890865130918
ROUBAIX,169416.95,157102.16,109847.22,20000.0,19235.88,99294,29246.31,22762.0,-1,-0.8582082380888293
CAEN,122884.84,106318.25,101514.28,10000.0,17147.55,108404,31775.45,26372.85,-1,-0.857047719558123
ORLEANS,179651.46,154108.92,89986.58,9000.0,30814.17,118632,25452.81,21555.86,-1,-0.857047719558123
SAINT-PIERRE,143914.62,130637.19,106811.42,20478.71,16945.97,85878,42678.12,12096.68,-1,-0.8564680489204297
TOURCOING,129196.97,120931.6,137564.51,15000.0,13158.53,99345,17924.26,14431.1,-1,-0.8564680489204297
ANTONY,111030.23,106194.79,126187.36,23800.0,13020.19,63535,42156.86,5083.18,-1,-0.8558887703473095
VILLEURBANNE,174432.97,156715.09,50026.63,10000.0,27554.89,153294,57654.42,15942.64,-1,-0.8558887703473095
COLOMBES,147417.19,120680.36,116770.72,20000.0,34061.76,87120,42327.4,5633.12,-1,-0.8553098835735863
CRETEIL,178430.98,173459.24,132201.04,13200.0,7806.79,93722,14604.94,22640.83,-1,-0.8553098835735863
LA ROCHELLE,142501.21,127893.23,84898.5,10993.27,22586.68,79333,42584.59,15965.6,-1,-0.854731388334264
PAU,120583.85,105992.93,108995.32,18000.0,23281.53,77070,45572.87,11227.09,-1,-0.854731388334264
FORT-DE-FRANCE,213972.81,186652.81,201694.25,1000.0,32237.0,77410,15277.17,17215.69,-1,-0.854731388334264
TOULON,227650.8,191053.82,62704.15,3000.0,39905.94,180641,44163.88,10852.55,-1,-0.8541532843645251
SAINT-DENIS,236610.46,219978.45,129060.99,0.0,23175.02,113766,26847.19,9935.66,-1,-0.8529982491754244
NANCY,133513.79,130412.75,113305.02,10397.95,7978.02,106504,18148.01,29646.58,-1,-0.8518447758913267
DUNKERQUE,152574.92,133827.3,82490.28,10019.82,23256.78,87547,22356.3,16238.69,-1,-0.8512686243035117
IVRY-SUR-SEINE,168103.58,155295.69,115963.27,10000.0,17822.22,63998,16169.95,9211.72,-1,-0.8512686243035117
POITIERS,105447.12,92821.92,92086.13,15600.0,16529.23,91487,21574.39,24191.44,-1,-0.8512686243035117
AULNAY-SOUS-BOIS,169223.79,165095.4,176842.58,14690.0,8669.41,87379,18437.6,10240.8,-1,-0.850692862400134
AMIENS,157637.93,147049.1,82134.28,17150.0,21415.39,137380,28047.2,6266.37,-1,-0.850692862400134
PANTIN,152034.17,134296.51,99699.55,21700.0,24180.91,60027,44801.58,5818.8,-1,-0.8501174899176276
CHERBOURG-EN-COTENTIN,147341.29,137880.04,50341.62,9000.0,14541.1,80912,31637.02,15028.43,-1,-0.8495425065926047
CHAMPIGNY-SUR-MARNE,131410.93,132297.26,114149.81,8000.0,19169.53,77334,42824.6,4456.92,-1,-0.8489679121618559
DRANCY,124805.71,126970.35,147964.48,21690.0,8889.66,72658,42374.63,4041.8,-1,-0.8478198889312318
GENNEVILLIERS,166039.54,149272.71,76302.76,20014.41,22766.83,48746,47428.66,10420.78,-1,-0.8478198889312318
CALAIS,111093.22,101092.36,104133.32,8000.0,13275.82,73134,21129.55,14062.6,-1,-0.8478198889312318
ASNIERES-SUR-SEINE,130456.51,123181.46,138473.17,0.0,16705.52,87809,60679.71,5001.23,-1,-0.8466734181236373
BOURGES,105610.2,98372.94,110180.3,23227.13,11052.57,66606,21218.34,8540.74,-1,-0.8466734181236373
BOBIGNY,129833.05,129817.75,107039.19,27000.0,5714.45,54528,52129.46,5421.16,-1,-0.8461007642223414
